日期,跌幅,涨幅
2022-01-04,206,161
2022-01-05,3,26
2022-01-06,9,17
2022-01-07,4,21
2022-01-10,12,22
2022-01-11,1,21
2022-01-12,1,21
2022-01-13,0,26
2022-01-14,1,20
2022-01-17,5,35
2022-01-18,16,34
2022-01-19,12,18
2022-01-20,4,21
2022-01-21,12,19
2022-01-24,32,17
2022-01-25,18,13
2022-01-26,9,15
2022-01-27,30,11
2022-01-28,18,8
2022-02-07,28,24
2022-02-08,6,22
2022-02-09,0,22
2022-02-10,2,20
2022-02-11,2,16
2022-02-14,4,23
2022-02-15,4,19
2022-02-16,1,20
2022-02-17,7,24
2022-02-18,5,21
2022-02-21,1,33
2022-02-22,1,27
2022-02-23,7,28
2022-02-24,7,22
2022-02-25,3,24
2022-02-28,5,21
2022-03-01,8,14
2022-03-02,0,11
2022-03-03,0,21
2022-03-04,2,16
2022-03-07,6,18
2022-03-08,23,9
2022-03-09,16,14
2022-03-10,0,26
2022-03-11,11,9
2022-03-14,7,23
2022-03-15,8,8
2022-03-16,5,20
2022-03-17,1,34
2022-03-18,2,17
2022-03-21,0,41
2022-03-22,1,35
2022-03-23,0,24
2022-03-24,1,18
2022-03-25,2,34
2022-03-28,6,23
2022-03-29,7,22
2022-03-30,4,19
2022-03-31,1,29
2022-04-01,2,23
2022-04-06,7,29
2022-04-07,5,15
2022-04-08,5,20
2022-04-11,20,35
2022-04-12,14,22
2022-04-13,10,24
2022-04-14,13,18
2022-04-15,9,15
2022-04-18,30,16
2022-04-19,18,19
2022-04-20,4,11
2022-04-21,7,12
2022-04-22,21,17
2022-04-25,58,14
2022-04-26,73,13
2022-04-27,105,19
2022-04-28,25,26
2022-04-29,14,31
2022-05-05,10,32
2022-05-06,2,20
2022-05-09,0,46
2022-05-10,4,27
2022-05-11,3,44
2022-05-12,0,24
2022-05-13,6,34
2022-05-16,4,35
2022-05-17,14,21
2022-05-18,11,28
2022-05-19,3,22
2022-05-20,1,27
2022-05-23,9,43
2022-05-24,6,33
2022-05-25,4,27
2022-05-26,7,25
2022-05-27,8,22
2022-05-30,9,28
2022-05-31,11,25
2022-06-01,11,25
2022-06-02,11,19
2022-06-06,9,29
2022-06-07,10,15
2022-06-08,5,23
2022-06-09,6,16
2022-06-10,3,15
2022-06-13,5,22
2022-06-14,2,11
2022-06-15,3,20
2022-06-16,6,16
2022-06-17,3,18
2022-06-20,2,24
2022-06-21,7,20
2022-06-22,8,21
2022-06-23,1,24
2022-06-24,1,29
2022-06-27,3,35
2022-06-28,2,26
2022-06-29,2,32
2022-06-30,14,18
2022-07-01,27,23
2022-07-04,9,17
2022-07-05,4,19
2022-07-06,8,16
2022-07-07,5,19
2022-07-08,7,27
2022-07-11,14,13
2022-07-12,5,16
2022-07-13,5,18
2022-07-14,3,14
2022-07-15,10,18
2022-07-18,5,33
2022-07-19,1,26
2022-07-20,4,23
2022-07-21,2,20
2022-07-22,2,16
2022-07-25,1,16
2022-07-26,6,16
2022-07-27,4,20
2022-07-28,1,27
2022-07-29,2,21
2022-08-01,0,25
2022-08-02,12,14
2022-08-03,4,29
2022-08-04,5,18
2022-08-05,5,17
2022-08-08,4,23
2022-08-09,3,17
2022-08-10,4,14
2022-08-11,1,23
2022-08-12,1,21
2022-08-15,6,19
2022-08-16,1,15
2022-08-17,1,18
2022-08-18,3,15
2022-08-19,1,16
2022-08-22,4,17
2022-08-23,5,23
2022-08-24,1,19
2022-08-25,4,22
2022-08-26,8,18
2022-08-29,4,14
2022-08-30,3,14
2022-08-31,1,8
2022-09-01,2,15
2022-09-02,1,18
2022-09-05,2,20
2022-09-06,0,10
2022-09-07,1,12
2022-09-08,0,9
2022-09-09,3,12
2022-09-13,5,14
2022-09-14,3,6
2022-09-15,1,14
2022-09-16,6,7
2022-09-19,9,11
2022-09-20,1,13
2022-09-21,3,7
2022-09-22,1,8
2022-09-23,1,6
2022-09-26,3,10
2022-09-27,2,16
2022-09-28,0,13
2022-09-29,1,11
2022-09-30,6,8
2022-10-10,15,12
2022-10-11,8,13
2022-10-12,1,13
2022-10-13,0,15
2022-10-14,4,24
2022-10-17,2,36
2022-10-18,1,22
2022-10-19,0,17
2022-10-20,4,19
2022-10-21,4,18
2022-10-24,7,22
2022-10-25,22,11
2022-10-26,11,24
2022-10-27,8,20
2022-10-28,27,10
2022-10-31,20,24
2022-11-01,3,23
2022-11-02,1,43
2022-11-03,5,13
2022-11-04,3,13
2022-11-07,0,19
2022-11-08,2,12
2022-11-09,5,12
2022-11-10,1,21
2022-11-11,0,29
2022-11-14,3,25
2022-11-15,1,17
2022-11-16,3,22
2022-11-17,2,18
2022-11-18,2,20
2022-11-21,4,10
2022-11-22,3,17
2022-11-23,13,14
2022-11-24,0,13
2022-11-25,8,11
2022-11-28,6,13
2022-11-29,0,28
2022-11-30,2,28
2022-12-01,4,14
2022-12-02,4,13
2022-12-05,0,17
2022-12-06,2,10
2022-12-07,0,13
2022-12-08,5,15
2022-12-09,2,14
2022-12-12,1,17
2022-12-13,1,14
2022-12-14,3,12
2022-12-15,0,13
2022-12-16,2,12
2022-12-19,9,15
2022-12-20,11,5
2022-12-21,6,8
2022-12-22,2,12
2022-12-23,2,10
2022-12-26,5,8
2022-12-27,2,16
2022-12-28,0,11
2022-12-29,2,13
2022-12-30,0,10
